Latex,Mathml,Description
,&#x00020;,SPACE
,&#x1D79B;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL MU
,&#x1D79C;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL NU
\mathsfbfit{\Xi},&#x1D79D;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL XI
,&#x1D79E;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL OMICRON
\mathsfbfit{\Pi},&#x1D79F;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL PI
,&#x1D7A0;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL RHO
,&#x1D7A1;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL THETA SYMBOL
\mathsfbfit{\Sigma},&#x1D7A2;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL SIGMA
,&#x1D7A3;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL TAU
\mathsfbfit{\Upsilon},&#x1D7A4;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL UPSILON
\mathsfbfit{\Phi},&#x1D7A5;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL PHI
,&#x1D7A6;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL CHI
\mathsfbfit{\Psi},&#x1D7A7;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL PSI
\mathsfbfit{\Omega},&#x1D7A8;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL OMEGA
,&#x1D7A9;,MATHEMATICAL SANS-SERIF BOLD ITALIC NABLA
\mathsfbfit{\alpha},&#x1D7AA;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL ALPHA
\mathsfbfit{\beta},&#x1D7AB;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL BETA
\mathsfbfit{\gamma},&#x1D7AC;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL GAMMA
\mathsfbfit{\delta},&#x1D7AD;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL DELTA
\mathsfbfit{\varepsilon},&#x1D7AE;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL EPSILON
\mathsfbfit{\zeta},&#x1D7AF;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL ZETA
\mathsfbfit{\eta},&#x1D7B0;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL ETA
\mathsfbfit{\theta},&#x1D7B1;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL THETA
\mathsfbfit{\iota},&#x1D7B2;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL IOTA
\mathsfbfit{\kappa},&#x1D7B3;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL KAPPA
\mathsfbfit{\lambda},&#x1D7B4;,mathematical sans-serif bold italic small lambda
\mathsfbfit{\mu},&#x1D7B5;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL MU
\mathsfbfit{\nu},&#x1D7B6;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL NU
\mathsfbfit{\xi},&#x1D7B7;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL XI
,&#x1D7B8;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL OMICRON
\mathsfbfit{\pi},&#x1D7B9;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL PI
\mathsfbfit{\rho},&#x1D7BA;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL RHO
\mathsfbfit{\varsigma},&#x1D7BB;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL FINAL SIGMA
\mathsfbfit{\sigma},&#x1D7BC;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL SIGMA
\mathsfbfit{\tau},&#x1D7BD;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL TAU
\mathsfbfit{\upsilon},&#x1D7BE;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL UPSILON
\mathsfbfit{\varphi},&#x1D7BF;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL PHI
\mathsfbfit{\chi},&#x1D7C0;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL CHI
\mathsfbfit{\psi},&#x1D7C1;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL PSI
\mathsfbfit{\omega},&#x1D7C2;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL OMEGA
,&#x1D7C3;,MATHEMATICAL SANS-SERIF BOLD ITALIC PARTIAL DIFFERENTIAL
\mathsfbfit{\epsilon},&#x1D7C4;,MATHEMATICAL SANS-SERIF BOLD ITALIC EPSILON SYMBOL
\mathsfbfit{\vartheta},&#x1D7C5;,MATHEMATICAL SANS-SERIF BOLD ITALIC THETA SYMBOL
,&#x1D7C6;,MATHEMATICAL SANS-SERIF BOLD ITALIC KAPPA SYMBOL
\mathsfbfit{\phi},&#x1D7C7;,MATHEMATICAL SANS-SERIF BOLD ITALIC PHI SYMBOL
\mathsfbfit{\varrho},&#x1D7C8;,MATHEMATICAL SANS-SERIF BOLD ITALIC RHO SYMBOL
\mathsfbfit{\varpi},&#x1D7C9;,MATHEMATICAL SANS-SERIF BOLD ITALIC PI SYMBOL
,&#x1D7CA;,MATHEMATICAL BOLD CAPITAL DIGAMMA
,&#x1D7CB;,MATHEMATICAL BOLD SMALL DIGAMMA
\mathbf{0},&#x1D7CE;,mathematical bold digit 0
\mathbf{1},&#x1D7CF;,mathematical bold digit 1
\mathbf{2},&#x1D7D0;,mathematical bold digit 2
\mathbf{3},&#x1D7D1;,mathematical bold digit 3
\mathbf{4},&#x1D7D2;,mathematical bold digit 4
\mathbf{5},&#x1D7D3;,mathematical bold digit 5
\mathbf{6},&#x1D7D4;,mathematical bold digit 6
\mathbf{7},&#x1D7D5;,mathematical bold digit 7
\mathbf{8},&#x1D7D6;,mathematical bold digit 8
\mathbf{9},&#x1D7D7;,mathematical bold digit 9
\mathbb{0},&#x1D7D8;,mathematical double-struck digit 0
\mathbb{1},&#x1D7D9;,"= \mathds{1} (dsfont), mathematical double-struck digit 1"
\mathbb{2},&#x1D7DA;,mathematical double-struck digit 2
\mathbb{3},&#x1D7DB;,mathematical double-struck digit 3
\mathbb{4},&#x1D7DC;,mathematical double-struck digit 4
\mathbb{5},&#x1D7DD;,mathematical double-struck digit 5
\mathbb{6},&#x1D7DE;,mathematical double-struck digit 6
\mathbb{7},&#x1D7DF;,mathematical double-struck digit 7
\mathbb{8},&#x1D7E0;,mathematical double-struck digit 8
\mathbb{9},&#x1D7E1;,mathematical double-struck digit 9
\mathsf{0},&#x1D7E2;,mathematical sans-serif digit 0
\mathsf{1},&#x1D7E3;,mathematical sans-serif digit 1
\mathsf{2},&#x1D7E4;,mathematical sans-serif digit 2
\mathsf{3},&#x1D7E5;,mathematical sans-serif digit 3
\mathsf{4},&#x1D7E6;,mathematical sans-serif digit 4
\mathsf{5},&#x1D7E7;,mathematical sans-serif digit 5
\mathsf{6},&#x1D7E8;,mathematical sans-serif digit 6
\mathsf{7},&#x1D7E9;,mathematical sans-serif digit 7
\mathsf{8},&#x1D7EA;,mathematical sans-serif digit 8
\mathsf{9},&#x1D7EB;,mathematical sans-serif digit 9
\mathsfbf{0},&#x1D7EC;,mathematical sans-serif bold digit 0
\mathsfbf{1},&#x1D7ED;,mathematical sans-serif bold digit 1
\mathsfbf{2},&#x1D7EE;,mathematical sans-serif bold digit 2
\mathsfbf{3},&#x1D7EF;,mathematical sans-serif bold digit 3
\mathsfbf{4},&#x1D7F0;,mathematical sans-serif bold digit 4
\mathsfbf{5},&#x1D7F1;,mathematical sans-serif bold digit 5
\mathsfbf{6},&#x1D7F2;,mathematical sans-serif bold digit 6
\mathsfbf{7},&#x1D7F3;,mathematical sans-serif bold digit 7
\mathsfbf{8},&#x1D7F4;,mathematical sans-serif bold digit 8
\mathsfbf{9},&#x1D7F5;,mathematical sans-serif bold digit 9
\mathtt{0},&#x1D7F6;,mathematical monospace digit 0
\mathtt{1},&#x1D7F7;,mathematical monospace digit 1
\mathtt{2},&#x1D7F8;,mathematical monospace digit 2
\mathtt{3},&#x1D7F9;,mathematical monospace digit 3
\mathtt{4},&#x1D7FA;,mathematical monospace digit 4
\mathtt{5},&#x1D7FB;,mathematical monospace digit 5
\mathtt{6},&#x1D7FC;,mathematical monospace digit 6
\mathtt{7},&#x1D7FD;,mathematical monospace digit 7
\mathtt{8},&#x1D7FE;,mathematical monospace digit 8
\mathtt{9},&#x1D7FF;,mathematical monospace digit 9
